author_id,name,Sex,email,phone,Address
2,Suzanne Collins,F,matthewfranklin@example.net,849-078-1871x8382,Unit 4489 Box 7838 DPO AP 12852
3,J.K. Rowling,M,xblack@example.com,(471)530-0450x333,"66651 Angela Place Suite 237 Flynnmouth, CO 40588"
3, Mary GrandPré,M,friedmanmichelle@example.net,+1-569-422-2682,"104 Alvin Extensions Suite 152 West Jessica, GA 27246"
4,Stephenie Meyer,M,robert80@example.net,070.499.5630x64319,"6885 Ronald Knolls Robertohaven, NM 63989"
5,Harper Lee,M,brandy88@example.com,(777)383-7294x7408,"0475 Cabrera River Port Jeffreyfort, PR 52944"
6,F. Scott Fitzgerald,F,ulopez@example.net,212.273.7951x780,Unit 7899 Box 7834 DPO AA 88266
7,John Green,F,johncruz@example.org,+1-142-611-1632x7825,"7240 Haynes Heights Apt. 228 Davisborough, OR 04138"
8,J.R.R. Tolkien,M,jennifer22@example.org,466.008.9464x086,"599 Carter Plaza Apt. 636 East Lindaberg, CA 79675"
9,J.D. Salinger,M,earl75@example.com,487.988.4828x4805,"53662 Shelia Circles South Kenneth, OH 76457"
10,Dan Brown,M,vtanner@example.org,708-620-5700x120,"PSC 6918, Box 2112 APO AP 44195"
11,Jane Austen,M,madeline98@example.com,+1-644-860-8186x90931,"9148 Simmons Pine Lake Danielle, MH 65520"
12,Khaled Hosseini,M,tanya82@example.org,001-787-099-9085x5209,"34090 Hernandez Neck Griffithburgh, NJ 31560"
13,Veronica Roth,F,dclarke@example.org,775-807-1828x1362,"81491 Brown Parkway Jessicaport, NH 36047"
14,George Orwell,M,pooledavid@example.net,+1-952-226-0462x242,"1004 Wall Way Suite 377 South Katrina, LA 73183"
14, Erich Fromm,M,jvillanueva@example.org,+1-367-422-7602x91396,"75372 Gonzalez Forest Suite 794 Villaton, AL 04457"
14, Celâl Üster,F,shane51@example.org,001-408-559-7482,"234 Eric Parkway Gibsonchester, NM 30051"
16,Anne Frank,M,roy37@example.net,001-580-278-4512x51453,"PSC 4260, Box 6041 APO AA 46989"
16, Eleanor Roosevelt,M,rrowland@example.org,001-685-528-2346x324,"59062 Carly Inlet Apt. 663 Crystalborough, CO 33197"
16, B.M. Mooyaart-Doubleday,F,brandonporter@example.net,001-872-881-0760x99568,"96717 Melissa Squares Robintown, MD 53203"
17,Stieg Larsson,M,williamstewart@example.net,928.556.7196x4701,"0072 Tracie Loop Apt. 880 Velezfurt, IA 67085"
17, Reg Keeland,M,lewismichael@example.com,(523)268-2660,"53421 Stewart Overpass South Elizabeth, NV 25906"
19, Rufus Beck,F,william87@example.net,+1-313-115-8656x78258,"4185 Kristopher Plains Clarkburgh, OK 99524"
23,Alice Sebold,F,whitekelly@example.org,0959276112,"64152 Stephanie Turnpike Apt. 567 Aguirreberg, FL 56219"
29,William Golding,F,karenchan@example.org,(810)876-8683,"3739 Sharon Alley Jacksonville, FL 66620"
30,William Shakespeare,M,glennjones@example.com,733-054-8043x141,"8775 Shea Common Suite 036 Emmafort, KY 62304"
30, Robert           Jackson,F,farmerjonathan@example.org,846.558.3984x7082,"41223 Thomas Path Suite 624 South Christopher, NC 94757"
31,Gillian Flynn,F,zturner@example.net,325.958.1081x3113,"0354 Michael Village South Kellichester, MA 54746"
32,Kathryn Stockett,M,jennifersuarez@example.org,001-789-204-9580,"1945 Romero Freeway Tinaton, NH 29054"
33,John Steinbeck,M,ctaylor@example.net,966-530-1345,"58589 Clayton Cliffs Suite 567 North Anthonyside, FL 82710"
34,Arthur Golden,M,johnsonchristopher@example.com,084.937.1679x284,"98445 Wade Summit Suite 538 Port Stephanie, GA 29486"
35,E.L. James,M,james78@example.com,8771868355,"28342 Gwendolyn Drives Apt. 433 South Kathrynbury, ID 40965"
36,Paulo Coelho,M,ychambers@example.net,023.953.6715x741,"9525 French Groves Kellerberg, ME 29939"
36, Alan R. Clarke,F,padillapaula@example.net,(201)247-7302x380,"83147 Douglas Springs Nicholasshire, PR 54233"
37,Lois Lowry,M,romerochristy@example.net,647-848-3348x5840,"7533 Hill Viaduct Apt. 548 North Michelle, CA 65919"
38,C.S. Lewis,F,ritawoods@example.org,(798)294-9289,"1307 Hall Row Crawfordview, DE 16593"
39,Audrey Niffenegger,M,angela70@example.com,177-330-4294,"97804 Austin Pines South Kevinberg, ID 30645"
40,George R.R. Martin,M,tgraham@example.org,+1-513-388-0291x651,"PSC 0936, Box 2684 APO AE 88171"
41,Elizabeth Gilbert,M,qsullivan@example.org,8758407414,"83375 Jenny Prairie Bakerburgh, DE 65517"
42,Rick Riordan,M,mark29@example.com,+1-900-546-2185x5312,"9835 Rogers Place Gayton, MT 08755"
43,Louisa May Alcott,F,tonya09@example.net,001-474-311-5224x5037,"1040 Robertson Islands Cherylview, KS 24261"
44,Charlotte Brontë,F,clairejohnson@example.net,503.541.6428x156,"78452 Ryan Brooks West Deniseton, DC 40609"
44, Michael Mason,F,charles29@example.com,223-380-4002x60252,"731 Jessica Summit Apt. 685 North Theresafort, IN 01005"
