author_id,name,Adress,Sex,email,phone
2,Suzanne Collins,"Unit 4489 Box 7838
DPO AP 12852",F,matthewfranklin@example.net,849-078-1871x8382
3,J.K. Rowling,"66651 Angela Place Suite 237
Flynnmouth, CO 40588",M,xblack@example.com,(471)530-0450x333
3, Mary GrandPré,"104 Alvin Extensions Suite 152
West Jessica, GA 27246",M,friedmanmichelle@example.net,+1-569-422-2682
4,Stephenie Meyer,"6885 Ronald Knolls
Robertohaven, NM 63989",M,robert80@example.net,070.499.5630x64319
5,Harper Lee,"0475 Cabrera River
Port Jeffreyfort, PR 52944",M,brandy88@example.com,(777)383-7294x7408
6,F. Scott Fitzgerald,"Unit 7899 Box 7834
DPO AA 88266",F,ulopez@example.net,212.273.7951x780
7,John Green,"7240 Haynes Heights Apt. 228
Davisborough, OR 04138",F,johncruz@example.org,+1-142-611-1632x7825
8,J.R.R. Tolkien,"599 Carter Plaza Apt. 636
East Lindaberg, CA 79675",M,jennifer22@example.org,466.008.9464x086
9,J.D. Salinger,"53662 Shelia Circles
South Kenneth, OH 76457",M,earl75@example.com,487.988.4828x4805
10,Dan Brown,"PSC 6918, Box 2112
APO AP 44195",M,vtanner@example.org,708-620-5700x120
11,Jane Austen,"9148 Simmons Pine
Lake Danielle, MH 65520",M,madeline98@example.com,+1-644-860-8186x90931
12,Khaled Hosseini,"34090 Hernandez Neck
Griffithburgh, NJ 31560",M,tanya82@example.org,001-787-099-9085x5209
13,Veronica Roth,"81491 Brown Parkway
Jessicaport, NH 36047",F,dclarke@example.org,775-807-1828x1362
14,George Orwell,"1004 Wall Way Suite 377
South Katrina, LA 73183",M,pooledavid@example.net,+1-952-226-0462x242
14, Erich Fromm,"75372 Gonzalez Forest Suite 794
Villaton, AL 04457",M,jvillanueva@example.org,+1-367-422-7602x91396
14, Celâl Üster,"234 Eric Parkway
Gibsonchester, NM 30051",F,shane51@example.org,001-408-559-7482
16,Anne Frank,"PSC 4260, Box 6041
APO AA 46989",M,roy37@example.net,001-580-278-4512x51453
16, Eleanor Roosevelt,"59062 Carly Inlet Apt. 663
Crystalborough, CO 33197",M,rrowland@example.org,001-685-528-2346x324
16, B.M. Mooyaart-Doubleday,"96717 Melissa Squares
Robintown, MD 53203",F,brandonporter@example.net,001-872-881-0760x99568
17,Stieg Larsson,"0072 Tracie Loop Apt. 880
Velezfurt, IA 67085",M,williamstewart@example.net,928.556.7196x4701
17, Reg Keeland,"53421 Stewart Overpass
South Elizabeth, NV 25906",M,lewismichael@example.com,(523)268-2660
19, Rufus Beck,"4185 Kristopher Plains
Clarkburgh, OK 99524",F,william87@example.net,+1-313-115-8656x78258
